id,activity_type,distance_miles,moving_time,average_heartrate,max_heartrate
9009,Run,4,31.97,0,0
9010,Run,5,37.38,0,0
9011,Run,5.05,37.88,167.7,184
9012,Run,1,7.83,0,0
9013,Ride,1.35,8.6,127.1,156
9014,Run,6.01,46.6,163.4,179
9015,Run,4.03,31.42,162.8,181
9016,Run,4.01,31.6,158.6,172
9017,Run,4.02,31.5,164.6,185
9018,Run,3,24.17,151.1,171
9019,Run,3.04,24.62,159.8,175
9020,Run,4,35.12,146.8,179
9021,Run,3.02,24.72,156.6,175
9022,Run,3.8,30.03,171.4,194
9023,Ride,3.9,20.32,142.9,172
9024,Ride,10.11,50.92,153,188
9025,Ride,5.22,27.07,147.3,182
9026,Ride,10.13,50.25,141.8,169
9027,Ride,6.08,34.18,126.7,149
9028,Ride,4.16,22.87,135.2,155
9029,Ride,5.06,27.62,135.7,166
9030,Ride,5.01,28.98,129.3,162
9031,Ride,4.27,25.82,132.4,170
9032,Ride,6.41,37.67,127.4,164
9033,Ride,6.48,37.85,131.4,167
9034,Run,11.38,89.68,162.6,179
9035,Run,5.02,41.53,151.3,176
9036,Run,7.02,57.2,166.2,182
9037,Run,6.02,51.45,156.1,173
9038,Ride,3.44,20.65,124.4,148
9039,Run,6.02,47.83,166.2,186
9040,Run,5.12,41.3,155.6,182
9041,Run,10.01,77.98,168.1,198
9042,Run,4.04,31.73,163.9,190
9043,Run,5.07,41.72,148.2,173
9044,Run,5.02,40.27,159.7,184
9045,Run,5.01,41.98,155.6,179
9046,Run,6.05,50.52,145.1,174
9047,Run,1.02,21.12,115.5,209
9048,Run,5.02,42.07,157.6,176
9049,Run,0.88,19.27,114.9,130
9050,Run,5.01,41.28,166.9,184
9051,Run,10.11,80.18,170.2,189
9052,Run,6.21,51.35,164.8,189
9053,Run,1.15,10.45,159.3,174
9054,Run,3.6,27.48,161,197
9055,Run,1.18,25.85,105.6,126
9056,Run,5.03,40.57,169.3,189
9057,Run,3.45,72.25,105.1,157
9058,Run,4.13,34.25,151.2,188
9059,Run,0.51,11.6,119.7,166
9060,Run,3.44,30.05,152.9,171
9061,Run,8.01,65.48,167.6,190
9062,Run,4.03,32.78,159.7,182
9063,Run,4.01,31.67,158.5,186
9064,Run,5.27,42.62,156.9,186
9065,Run,4.01,32.05,153.8,184
9066,Run,0.76,6.27,132.3,153
9067,Run,4.01,32.58,156.1,177
9068,Run,3.75,30.22,149.4,175
9069,Run,4.89,41.05,153.1,176
9070,Run,4.56,39.25,149.9,171
9071,Run,6.04,49.55,159,173
9072,Run,6.02,49.17,164.2,189
9073,Run,5.01,44.03,144.1,167
9074,Run,5.02,41.73,161.3,179
9075,Run,3.1,25.47,150.3,171
9076,Run,6.02,47.08,166.8,188
9077,Run,5,40.72,160,182
9078,Run,10.05,75.18,170.5,190
9079,Run,6.02,50.65,154,178
9080,Run,7.06,56.17,162.4,183
9081,Run,5.05,39.52,158.7,180
9082,Run,3.73,32,147.7,169
9083,Run,8,70.05,149.9,175
9084,Run,0.01,0.08,133,135
9085,Run,1.21,10.42,163.6,177
9086,Run,2.89,20.1,180.3,202
9087,Run,1.3,10.62,146.5,169
9088,Run,7.02,62.33,140.9,157
9089,Run,4.42,41.9,135,153
9090,Run,10.03,76.38,167.9,185
9091,Run,1.01,8.02,155.7,172
9092,Run,1.05,8.12,157.8,171
9093,Run,5.01,42.53,152.4,169
9094,Run,6.18,49.22,161.1,180
9095,Run,5.1,42.2,148.7,174
9096,Run,4.07,31.92,153.6,171
9097,Run,6.02,47.9,159.1,172
9098,Run,3,26.25,160.1,172
9099,Run,5.01,38.43,160.1,184
9100,Run,5.01,41.43,146.3,168
9101,Run,5.15,41.67,150.7,179
9102,Run,6.01,47.2,160.2,175
9103,Run,6.01,45.4,158.7,183
9104,Run,4.02,32.8,152.9,168
9105,Run,5.05,40.35,144.6,169
9106,Run,3.63,29.77,156.4,170
9107,Run,1.26,10.1,144.1,166
9108,Run,2.01,17.93,159.2,187
9109,Run,1,3.88,157.8,186
9110,Run,1.13,8.73,152,177
9111,Run,8.02,63.52,161.4,185
9112,Run,4.01,31.45,154.3,171
9113,Run,2.28,20.05,142.4,157
9114,Run,6.03,47.98,155.9,173
9115,Run,5.03,35.87,170.3,190
9116,Run,4.05,30.35,161.5,186
9117,Run,3.75,30.9,152.2,179
9118,Run,3.75,29.97,144.6,172
9119,Run,0.5,2.22,0,0
9120,Run,2.27,20.3,158.3,177
9121,Run,3.54,30.18,144.4,169
9122,Run,4.7,40.07,140.1,162
9123,Run,0.81,7.57,128.5,150
9124,Run,4.88,40,146.2,170
9125,Run,0.95,8.08,131.6,146
9126,Run,1.01,10.35,137.5,146
9127,Run,1.66,10.67,162.8,182
9128,Run,1.02,8.17,139,155
9129,Run,5.16,40.15,149.7,175
9130,Run,1.13,11.02,156.7,173
9131,Run,0,2.18,0,0
9132,Run,1.25,10.02,152.1,165
9133,Run,3.53,30,148.9,172
9134,Run,8.01,65.83,158.2,175
9135,Run,5.13,45.47,145.8,170
9136,Run,1.09,10.02,160.1,168
9137,Run,1.6,7.42,0,0
9138,Run,1.01,9.43,147.3,156
9139,Run,7.04,58.2,144.5,170
9140,Run,3.5,26.95,163.9,190
9141,Run,1.02,8.83,132.1,144
9142,Run,5,39.33,0,0
9143,Run,1.03,9.77,128.6,149
9144,Run,3.61,30.18,143,159
9145,Run,10.73,83.28,164.3,181
9146,Run,6.01,50.02,151.8,183
9147,Run,3.76,31.4,149.6,171
9148,Run,6.01,50.48,155.8,175
9149,Run,1.21,10.8,162,174
9150,Run,1.97,9.6,172.3,194
9151,Run,1.02,7.58,145.2,173
9152,Run,7.03,56.72,160.3,182
9153,Run,9.1,71.77,163.4,185
9154,Run,3.36,30.03,138.7,156
9155,Run,2.77,21.62,158.3,182
9156,Run,1.03,8.15,136.7,160
9157,Run,5,42.33,154.1,176
9158,Run,1.04,8.97,133.6,169
9159,Run,1.4,6.5,0,0
9160,Run,1,10.25,156.7,171
9161,Run,1.04,8.48,144.5,163
9162,Run,7.02,58.32,157.6,182
9163,Run,4.77,39.7,152.7,169
9164,Run,3.64,30.13,141.5,162
9165,Run,3.01,24.98,152.6,182
9166,Run,0.52,5.05,144.3,159
9167,Run,1.2,10.2,148.6,160
9168,Run,3.74,30.62,143.2,160
9169,Run,4.55,38.05,144.9,157
9170,Run,4.16,34.82,146.9,172
9171,Run,1.11,10.15,133.7,144
9172,Run,1.4,7,0,0
9173,Run,1,10.07,152.6,169
9174,Run,1.11,8.47,147.1,165
9175,Run,3.52,30.75,141.7,157
9176,Run,1.24,10.42,142.3,163
9177,Run,1.01,9.98,152.1,166
9178,Run,4.28,26.62,158.5,198
9179,Run,1.01,8.17,142,150
9180,Run,10.22,81.23,153,170
9181,Run,2.4,21.17,162.3,176
9182,Run,1,4.95,0,0
9183,Run,1.18,10.35,146.7,167
9184,Run,4.68,39.17,144.7,176
9185,Run,4.5,30,0,0
9186,Run,1.18,11.3,159.3,177
9187,Run,0.58,5.12,155.4,174
9188,Run,1.51,12.6,149.7,173
9189,Run,5.43,45.93,151.1,171
9190,Run,2.15,20.75,153.6,173
9191,Run,2.55,15.78,162,197
9192,Run,1.02,8.22,146.1,168
9193,Run,10.02,77.05,157.3,182
9194,Run,1.88,17.25,151.4,169
9195,Run,1.19,10.13,151.7,170
9196,Run,2,17.7,147.7,156
9197,Run,2.58,21.32,164.8,183
9198,Run,1.03,8.05,146.5,156
9199,Run,3,24.38,159.5,180
